subject,topic,subtopic,importance
Docker,Docker Fundamentals,"Docker CLI Commands (build, run, exec, etc.)",10
Docker,Docker Images,Dockerfile Syntax and Best Practices,10
Docker,Docker Images,Multi-Stage Builds,9
Docker,Docker Images,"Building, Tagging, and Pushing Docker Images",9
Docker,Docker Containers,Creating and Running Containers,10
Docker,Docker Containers,"Container Lifecycle Management (Start, Stop, Restart)",9
Docker,Docker Containers,Container Networking,9
Docker,Docker Containers,Data Volumes and Persistent Storage,9
Docker,Docker Containers,Docker Compose (Multi-Container Applications),9
Docker,Docker Networking,"Docker Network Types (Bridge, Host, Overlay)",9
Docker,Docker Security,Docker Security Best Practices,10
