subject,topic,subtopic,importance
Python,Python Fundamentals,Syntax & Variables,10
Python,Python Fundamentals,"Data Types (int, float, str, bool, complex)",10
Python,Python Fundamentals,Type Conversion & Casting,9
Python,Python Fundamentals,"Operators (Arithmetic, Logical, Bitwise)",9
Python,Python Fundamentals,Mutable vs Immutable Types,9
Python,Control Flow & Iteration,Conditional Statements (if-else),10
Python,Control Flow & Iteration,"Loops (for, while, break, continue)",10
Python,Control Flow & Iteration,Iterators & Generators,10
Python,Functions & Scope,Function Definition & Invocation,10
Python,Functions & Scope,"Function Arguments (*args, **kwargs)",10
Python,Functions & Scope,Recursion,9
Python,Functions & Scope,"Scope (Local, Global, Nonlocal)",9
Python,Functions & Scope,Closures & Nested Functions,9
Python,Data Structures in Python,Lists & List Comprehension,10
Python,Data Structures in Python,Tuples & Tuple Operations,8
Python,Data Structures in Python,Sets & Set Operations,8
Python,Data Structures in Python,Dictionaries & Dictionary Comprehension,10
Python,Data Structures in Python,"Stacks, Queues, and Deques (collections module)",9
Python,String Handling,String Operations & Methods,9
Python,String Handling,"String Formatting (f-strings, format())",9
Python,String Handling,Regular Expressions (re Module),9
Python,Object-Oriented Programming (OOP),Classes & Objects,10
Python,Object-Oriented Programming (OOP),"Inheritance (Single, Multiple, Multilevel)",10
Python,Object-Oriented Programming (OOP),Polymorphism & Method Overriding,9
Python,Object-Oriented Programming (OOP),Encapsulation & Abstraction,9
Python,Object-Oriented Programming (OOP),"Magic Methods & Dunder Methods (str, repr, etc.)",8
Python,Object-Oriented Programming (OOP),Class & Static Methods,9
Python,Exception Handling,Try-Except Blocks,10
Python,Exception Handling,Handling Multiple Exceptions,9
Python,Exception Handling,Raising & Custom Exceptions,9
Python,Modules & Imports,Importing Built-in & External Modules,9
Python,Modules & Imports,Creating & Using Custom Modules,8
Python,File Handling,"Reading & Writing Files (txt, csv, json)",9
Python,Multithreading & Multiprocessing,Threads & GIL,8
Python,Multithreading & Multiprocessing,Multiprocessing & Parallel Execution,9
Python,Database Handling,Working with SQLite & MySQL in Python,9
Python,Functional Programming,"Map, Filter, Reduce",9
Python,Functional Programming,Decorators,9
Python,Testing & Debugging,"Unit Testing (unittest, pytest)",10
Python,Algorithms & Problem Solving,"Sorting Algorithms (Bubble, Quick, Merge)",10
Python,Algorithms & Problem Solving,"Searching Algorithms (Binary, Linear)",9
Python,Algorithms & Problem Solving,"Dynamic Programming (Memoization, Tabulation)",10
Python,Algorithms & Problem Solving,Graphs & Trees in Python,10
