subject,topic,subtopic,importance
Pyspark,PySpark Core Concepts,"RDDs: Definition, Properties, Transformations & Actions",10
Pyspark,PySpark Core Concepts,"RDD Partitioning, Persistence & Parallelism",10
Pyspark,PySpark DataFrame API,"Creating & Loading DataFrames (CSV, JSON, Parquet, Database)",10
Pyspark,PySpark DataFrame API,"DataFrame Operations (Filtering, Aggregation, Sorting)",10
Pyspark,PySpark DataFrame API,User-Defined Functions (UDFs & Pandas UDFs),10
Pyspark,PySpark SQL & Query Optimization,"SQL Queries on DataFrames, Window Functions, Joins",10
Pyspark,PySpark Streaming (Structured Streaming),"Basics, Stateful Processing, Aggregations & Watermarking",10
Pyspark,PySpark MLlib (Machine Learning),Feature Engineering & Vectorization,9
Pyspark,PySpark MLlib (Machine Learning),"Classification, Regression & Clustering Models",9
Pyspark,PySpark Performance Optimization,"Partitioning, Bucketing & Broadcast Joins",10
Pyspark,PySpark Performance Optimization,Caching & Checkpointing for Performance,9
Pyspark,PySpark Debugging & Monitoring,"Debugging PySpark Jobs, Spark UI & Job Monitoring",10
Pyspark,Latest PySpark Features (Spark 3.5+),Python User-Defined Table Functions (UDTFs),9
Pyspark,Latest PySpark Features (Spark 3.5+),Pandas API Enhancements in PySpark,8
